mass,limit_95,med_limit,2sigma_up,1sigma_up,1sigma_down,test_statistic
0.10003,3.952274892820787e-09,3.5497218353019648e-09,5.29015899029675e-09,4.504777682148373e-09,2.2154853611080727e-09,0.38575985223550513
0.10007,5.057752351625607e-09,3.5211207682796474e-09,5.2686043489986966e-09,4.480835414322867e-09,2.17290877306496e-09,1.6854428288319638
0.1001,5.399485957928303e-09,3.5438086200427595e-09,5.281570530876378e-09,4.49740702750667e-09,2.2115206678392422e-09,2.157363219456095
0.10014,5.313332607129035e-09,3.518887817104933e-09,5.263048993032314e-09,4.476698853204269e-09,2.174095292721075e-09,2.0409746622256137
0.10017,4.9051024139110135e-09,3.546617187685592e-09,5.281860079346365e-09,4.49868909073774e-09,2.2178625202545856e-09,1.4963411401557987
0.10021,4.077744953878031e-09,3.5562525505569428e-09,5.2880941584135114e-09,4.506151763765455e-09,2.2335183011349475e-09,0.5262840671702838
0.10024,3.180488586577651e-09,3.553504478801212e-09,5.286482938631368e-09,4.504126819189271e-09,2.228816831828153e-09,-0.32424476380399847
0.10028,2.2271089189914273e-09,3.551998264900464e-09,5.284861608847134e-09,4.502585409315429e-09,2.2271089189914273e-09,-1.3030996208156802
0.10031,2.25209859497717e-09,3.5673909910329245e-09,5.294933055436185e-09,4.514565019002184e-09,2.25209859497717e-09,-1.785620581934227
0.10035,2.1657608679695153e-09,3.512717987616566e-09,5.257602046648521e-09,4.471085739226183e-09,2.1657608679695153e-09,-1.9213110045456687
0.10038,2.195433570921995e-09,3.531189195651859e-09,5.26963018024993e-09,4.485438032913659e-09,2.195433570921995e-09,-1.6605346866510438
0.10042,2.40286891481257e-09,3.56259578551397e-09,5.291098755702416e-09,4.510417344452636e-09,2.24517412227333e-09,-0.8902558979585313
0.10045,3.3759541614149984e-09,3.5495536246960197e-09,5.282222855563602e-09,4.500064993386e-09,2.224434171908295e-09,-0.15527141026014493
0.10049,4.484336993809987e-09,3.5388561038506456e-09,5.275698077779581e-09,4.492011009263714e-09,2.206618332951846e-09,0.9821859614463141
0.10053,4.83748665585168e-09,3.5265415330194604e-09,5.266047720845756e-09,4.481485151097077e-09,2.188693130161057e-09,1.414999684133371
0.10056,4.763846377317826e-09,3.5628966174566686e-09,5.2898700505617645e-09,4.509805880936558e-09,2.247422150271378e-09,1.323822554505614
0.1006,4.432963823767244e-09,3.522330004709839e-09,5.260395293255353e-09,4.476507878865974e-09,2.1853234907331754e-09,0.9295101399912004
0.10063,3.961814051787641e-09,3.540295597937216e-09,5.273924958217953e-09,4.4915421531126205e-09,2.2121320673974154e-09,0.40950308397161567
0.10067,3.4824585807117743e-09,3.5442373024501335e-09,5.276104921733104e-09,4.494375953664887e-09,2.2189783468634908e-09,-0.05701371042751378
