mass,limit_95,med_limit,2sigma_up,1sigma_up,1sigma_down,test_statistic
0.47357,8.86604649268453e-11,6.122956665434691e-11,9.115917447678974e-11,7.764688436814733e-11,3.833941233164628e-11,1.8052216733189486
0.47372,9.301533278690169e-11,6.116435134772258e-11,9.10946936767032e-11,7.758322027130647e-11,3.826074644992966e-11,2.155054185298484
0.47387,9.51860025199042e-11,6.115422045924099e-11,9.104187877469705e-11,7.754836975406687e-11,3.829818154094512e-11,2.342614980902618
0.47402,7.750221884386871e-11,5.991279703298974e-11,8.921341724776737e-11,7.5988057819501e-11,3.748276026799917e-11,1.104501199349536
0.47417,6.729617558602381e-11,5.9897945363163e-11,8.916094616403617e-11,7.595143040972784e-11,3.750979279117931e-11,0.4317998806795955
0.47431,4.9744650317385236e-11,5.987317040770886e-11,8.912938471039332e-11,7.592376842173721e-11,3.748435897748838e-11,-0.5096078649180847
0.47446,3.7387157171498355e-11,5.974851918185222e-11,8.89563515606658e-11,7.577379886653741e-11,3.7387157171498355e-11,-1.6515117121527423
0.47461,3.736633237557967e-11,5.968246184785874e-11,8.884158360884032e-11,7.568027373937284e-11,3.736633237557967e-11,-2.403285461362023
0.47476,3.734909819049143e-11,5.961510676824132e-11,8.871573412919669e-11,7.558068922348491e-11,3.734909819049143e-11,-2.935739560842008
0.47491,3.7198859472345286e-11,5.941026492519472e-11,8.843329121729963e-11,7.533331010239528e-11,3.7198859472345286e-11,-2.1279233064186975
0.47506,4.831528003992897e-11,5.948471725451047e-11,8.855486510713234e-11,7.543226793318778e-11,3.72432385607803e-11,-0.5597916889089422
0.47521,6.889152629946025e-11,5.944846019627737e-11,8.850350670211547e-11,7.538686570807055e-11,3.7223451345462545e-11,0.5643715373448625
0.47535,8.006202480092742e-11,5.939620415868129e-11,8.842764066121024e-11,7.53216368428955e-11,3.7189011682042643e-11,1.3441911748518385
0.4755,8.519043225561643e-11,5.929716094986102e-11,8.8300657606938e-11,7.520806093520082e-11,3.710270412174461e-11,1.7479614152879148
0.47565,8.362050642712903e-11,5.923272965064184e-11,8.819327436355368e-11,7.511978216183776e-11,3.707512337781565e-11,1.6325482463670637
0.4758,8.017973352484069e-11,5.93413294231348e-11,8.834042927271335e-11,7.52485821976073e-11,3.7162838783983503e-11,1.359544399803911
0.47595,7.063412347292625e-11,5.936761853180943e-11,8.839575411453884e-11,7.529158112561792e-11,3.715918966895926e-11,0.6828731368674127
0.4761,5.971215157046238e-11,5.937643776212972e-11,8.84183815796429e-11,7.530818094143729e-11,3.715451284126861e-11,0.017434234097919055
0.47625,4.6805066414837494e-11,5.932680923531178e-11,8.831713800022392e-11,7.52287053075039e-11,3.715857778651559e-11,-0.6206297344645828
0.4764,3.708355473599205e-11,5.923539778523826e-11,8.818929066324375e-11,7.511893142284071e-11,3.708355473599205e-11,-1.7367022853945833
0.47655,3.716040140082699e-11,5.934775888761406e-11,8.835014746857968e-11,7.525784774737653e-11,3.716040140082699e-11,-1.740137043751938
0.47669,3.7209496331903545e-11,5.942938498463873e-11,8.848313993351385e-11,7.536588591795981e-11,3.7209496331903545e-11,-1.6858248154969395
0.47684,3.7266093415599215e-11,5.95212814626863e-11,8.86082439129717e-11,7.547832694982354e-11,3.7266093415599215e-11,-1.0984375154157335
0.47699,3.894681054368881e-11,5.954905908503432e-11,8.863068231003027e-11,7.550366990196352e-11,3.729829565974699e-11,-0.9409404197946083
0.47714,5.259269995136015e-11,5.946902659594817e-11,8.851567442240623e-11,7.540520727157006e-11,3.723958296781472e-11,-0.3582536389364099
0.47729,6.866990176173061e-11,5.940437394428576e-11,8.841637962828457e-11,7.532026226662868e-11,3.721007445905823e-11,0.554196342230829
0.47744,7.275026196166434e-11,5.927736716746092e-11,8.823938023530797e-11,7.516580368900867e-11,3.711901538541213e-11,0.8329740748450005
0.47759,7.48655302941282e-11,5.920636801870664e-11,8.812212184219544e-11,7.506885903784571e-11,3.708913879266365e-11,0.9868344555907262
0.47774,7.593355455729173e-11,5.910517880341351e-11,8.850572778821858e-11,7.49627041108721e-11,3.698529413017899e-11,1.0681777339050953
0.47789,8.047260828447013e-11,5.896319268508175e-11,8.778028529258289e-11,7.477187986849541e-11,3.691583879860881e-11,1.4189308117717874
0.47804,8.437990664585321e-11,5.894816331957943e-11,8.775755771971521e-11,7.475240552858905e-11,3.690807659192862e-11,1.7257277804540965
0.47819,8.311645231831612e-11,5.889650166325434e-11,8.76809345818601e-11,7.468760268205379e-11,3.687192762518877e-11,1.6304472299190544
0.47834,8.330050486034038e-11,5.876939023629606e-11,8.748624936431115e-11,7.452352718465812e-11,3.679711502341523e-11,1.6597111949190806
0.47849,7.329451882479383e-11,5.881117207170133e-11,8.753436304246431e-11,7.456918233786944e-11,3.683407854590122e-11,0.9105611507076821
0.47864,6.176329347792284e-11,5.874764393177661e-11,8.745526077589616e-11,7.44983459802375e-11,3.677239183836417e-11,0.17232151012955102
0.47879,3.812151157269628e-11,5.881908108624097e-11,8.754011197456513e-11,7.457677961067615e-11,3.683989972290026e-11,-0.9536281193692475
0.47894,3.684308951479251e-11,5.882733105331555e-11,8.755458854894788e-11,7.458842316988666e-11,3.684308951479251e-11,-1.3610830619169674
0.47909,3.678824745214506e-11,5.874126568648252e-11,8.74313267238425e-11,7.448133976342996e-11,3.678824745214506e-11,-1.1983306781635221
0.47924,3.81400587530623e-11,5.865869320406168e-11,8.731963303461668e-11,7.438253807119855e-11,3.6727194684123184e-11,-0.949488833286619
0.47939,4.012528991106378e-11,5.870994352052582e-11,8.739572932199616e-11,7.444753628682208e-11,3.675891642948515e-11,-0.8765690446627254
0.47954,5.756873858922516e-11,5.884445350095679e-11,8.757012307408881e-11,7.460366229162047e-11,3.6868729865687984e-11,-0.06929289887275762
0.47969,6.426665949327217e-11,5.872295448906492e-11,8.744185558964232e-11,7.447928243901694e-11,3.673794433980691e-11,0.32311107550807716
0.47984,6.604353929237313e-11,5.868372693868013e-11,8.737929667095739e-11,7.442495942852434e-11,3.6730689184956864e-11,0.4377867791194502
0.47999,6.672359117164551e-11,5.86731717292567e-11,8.736060783281999e-11,7.440924873776438e-11,3.6731879252032696e-11,0.48241089038058477
0.48014,7.00725279173256e-11,5.858697430874529e-11,8.724374717347378e-11,7.430648919433347e-11,3.6664933436224634e-11,0.7072343402541411
0.48029,5.6949075095223207e-11,5.842028159528106e-11,8.694730088925792e-11,7.406899575528082e-11,3.6604679934834274e-11,-0.0803248094730371
0.48044,4.985770215101868e-11,5.83312640163611e-11,8.683012743446717e-11,7.396650147436945e-11,3.6522488551408835e-11,-0.4432121332535891
0.48059,4.823459678534376e-11,5.832456021115926e-11,8.681688092151153e-11,7.395680726219068e-11,3.6517781543839205e-11,-0.5199420470497808
0.48074,4.5642544065266656e-11,5.825146915806812e-11,8.669977016531364e-11,7.385944606847526e-11,3.6480615740855474e-11,-0.6347483202017723
0.48089,5.172914943636479e-11,5.811302942187211e-11,8.653666773067489e-11,7.370843175895292e-11,3.6346991216731826e-11,-0.34337893317547336
